frameno;no_of_circles;bounding_box_position;color
50;2;"[[[352, 267], [381, 296]], [[615, 288], [641, 312]]]";0
51;2;"[[[352, 271], [377, 294]], [[612, 290], [640, 313]]]";0
52;2;"[[[354, 269], [380, 294]], [[612, 288], [640, 311]]]";0
53;2;"[[[351, 267], [380, 292]], [[613, 285], [644, 310]]]";0
54;2;"[[[351, 267], [381, 293]], [[612, 287], [639, 313]]]";0
55;2;"[[[351, 267], [378, 293]], [[611, 287], [640, 310]]]";0
56;2;"[[[349, 268], [382, 294]], [[611, 286], [645, 310]]]";0
57;2;"[[[350, 269], [380, 294]], [[614, 289], [639, 311]]]";0
58;2;"[[[351, 269], [381, 293]], [[614, 287], [639, 311]]]";0
59;2;"[[[352, 269], [382, 295]], [[615, 287], [641, 312]]]";0
60;2;"[[[351, 269], [387, 297]], [[615, 289], [647, 311]]]";0
61;2;"[[[351, 269], [381, 295]], [[614, 291], [642, 313]]]";0
62;2;"[[[352, 271], [381, 296]], [[613, 291], [641, 314]]]";0
63;2;"[[[356, 272], [384, 293]], [[616, 290], [645, 314]]]";0
64;2;"[[[356, 272], [385, 294]], [[619, 288], [646, 313]]]";0
65;2;"[[[359, 271], [385, 295]], [[621, 287], [645, 312]]]";0
66;2;"[[[359, 271], [388, 298]], [[620, 286], [646, 314]]]";0
67;2;"[[[358, 270], [384, 294]], [[619, 289], [645, 313]]]";0
68;2;"[[[357, 273], [384, 298]], [[620, 290], [645, 313]]]";0
69;2;"[[[361, 272], [389, 296]], [[620, 287], [646, 313]]]";0
70;2;"[[[359, 272], [386, 298]], [[623, 290], [647, 313]]]";0
71;2;"[[[360, 274], [387, 297]], [[622, 289], [648, 311]]]";0
72;2;"[[[360, 273], [388, 296]], [[621, 291], [649, 311]]]";0
73;2;"[[[360, 271], [390, 294]], [[623, 288], [650, 314]]]";0
74;2;"[[[364, 272], [389, 297]], [[623, 289], [651, 313]]]";0
75;2;"[[[365, 272], [390, 298]], [[624, 289], [650, 313]]]";0
76;2;"[[[367, 272], [397, 296]], [[628, 290], [653, 314]]]";0
77;2;"[[[368, 269], [397, 296]], [[629, 288], [652, 312]]]";0
78;2;"[[[370, 274], [396, 297]], [[631, 288], [656, 314]]]";0
79;2;"[[[371, 273], [399, 299]], [[630, 292], [658, 315]]]";0
80;2;"[[[370, 277], [400, 302]], [[632, 293], [660, 317]]]";0
81;2;"[[[374, 278], [401, 302]], [[633, 291], [660, 318]]]";0
82;2;"[[[375, 274], [402, 303]], [[635, 291], [661, 318]]]";0
83;2;"[[[378, 277], [404, 304]], [[638, 294], [664, 320]]]";0
84;2;"[[[381, 281], [406, 306]], [[637, 298], [663, 324]]]";0
85;2;"[[[378, 283], [405, 309]], [[636, 301], [663, 326]]]";0
86;2;"[[[374, 288], [402, 315]], [[635, 307], [664, 331]]]";0
87;2;"[[[370, 288], [397, 315]], [[630, 306], [658, 331]]]";0
88;2;"[[[372, 288], [396, 313]], [[630, 303], [658, 330]]]";0
89;2;"[[[372, 287], [401, 312]], [[632, 302], [657, 328]]]";0
90;2;"[[[373, 288], [398, 312]], [[634, 306], [658, 329]]]";0
91;2;"[[[376, 292], [401, 316]], [[635, 305], [659, 332]]]";0
92;2;"[[[378, 294], [401, 317]], [[637, 312], [659, 335]]]";0
93;2;"[[[382, 292], [406, 316]], [[639, 311], [664, 333]]]";0
94;2;"[[[383, 291], [409, 314]], [[641, 311], [666, 331]]]";0
95;2;"[[[386, 290], [411, 316]], [[644, 308], [670, 329]]]";0
96;2;"[[[388, 289], [417, 311]], [[647, 305], [672, 331]]]";0
97;2;"[[[393, 290], [418, 316]], [[650, 308], [673, 330]]]";0
98;2;"[[[391, 295], [421, 319]], [[650, 309], [674, 332]]]";0
99;2;"[[[393, 297], [415, 320]], [[651, 311], [675, 332]]]";0
100;2;"[[[394, 299], [417, 321]], [[651, 313], [674, 337]]]";0
101;2;"[[[395, 300], [419, 322]], [[652, 312], [675, 336]]]";0
102;2;"[[[394, 297], [421, 325]], [[652, 315], [676, 340]]]";0
103;2;"[[[396, 301], [419, 326]], [[654, 315], [679, 340]]]";0
104;2;"[[[395, 301], [419, 323]], [[652, 313], [676, 341]]]";0
105;2;"[[[394, 301], [418, 325]], [[651, 317], [675, 340]]]";0
106;2;"[[[396, 297], [420, 323]], [[651, 315], [677, 342]]]";0
107;2;"[[[396, 297], [422, 324]], [[651, 314], [676, 338]]]";0
108;2;"[[[393, 299], [422, 321]], [[652, 316], [673, 338]]]";0
109;2;"[[[392, 298], [418, 326]], [[650, 312], [672, 339]]]";0
110;2;"[[[389, 297], [416, 321]], [[648, 311], [675, 338]]]";0
111;2;"[[[390, 298], [416, 323]], [[648, 312], [672, 337]]]";0
112;2;"[[[391, 300], [420, 322]], [[648, 315], [676, 337]]]";0
113;2;"[[[391, 296], [417, 319]], [[651, 313], [675, 337]]]";0
114;2;"[[[389, 291], [415, 317]], [[649, 310], [673, 333]]]";0
115;2;"[[[388, 288], [412, 315]], [[645, 307], [670, 330]]]";0
116;2;"[[[386, 288], [413, 314]], [[644, 304], [672, 332]]]";0
117;2;"[[[384, 284], [414, 313]], [[644, 303], [669, 327]]]";0
118;2;"[[[386, 283], [412, 310]], [[644, 302], [671, 326]]]";0
119;2;"[[[386, 282], [411, 308]], [[641, 299], [670, 323]]]";0
120;2;"[[[384, 281], [413, 308]], [[644, 297], [669, 320]]]";0
121;2;"[[[387, 281], [411, 303]], [[644, 295], [673, 318]]]";0
122;2;"[[[387, 274], [416, 299]], [[645, 290], [672, 313]]]";0
123;2;"[[[387, 268], [417, 290]], [[645, 282], [670, 310]]]";0
124;2;"[[[389, 257], [417, 282]], [[643, 273], [674, 300]]]";0
125;2;"[[[385, 255], [413, 278]], [[644, 271], [675, 295]]]";0
126;2;"[[[388, 252], [413, 278]], [[646, 270], [672, 293]]]";0
127;2;"[[[388, 253], [413, 275]], [[648, 266], [672, 293]]]";0
128;2;"[[[388, 251], [415, 278]], [[646, 267], [672, 293]]]";0
129;2;"[[[391, 250], [416, 277]], [[649, 267], [674, 292]]]";0
130;2;"[[[392, 251], [418, 275]], [[652, 267], [675, 290]]]";0
131;2;"[[[393, 248], [420, 276]], [[651, 263], [679, 288]]]";0
132;2;"[[[393, 247], [420, 273]], [[652, 263], [680, 288]]]";0
133;2;"[[[390, 246], [417, 269]], [[651, 261], [675, 285]]]";0
134;2;"[[[395, 234], [421, 258]], [[654, 250], [681, 275]]]";0
135;2;"[[[393, 230], [418, 254]], [[655, 242], [680, 269]]]";0
136;2;"[[[393, 225], [421, 252]], [[655, 240], [680, 264]]]";0
137;2;"[[[395, 223], [420, 249]], [[654, 236], [676, 259]]]";0
138;2;"[[[394, 218], [418, 242]], [[652, 235], [681, 259]]]";0
139;2;"[[[393, 216], [417, 239]], [[650, 229], [679, 256]]]";0
140;2;"[[[391, 213], [417, 240]], [[652, 225], [678, 253]]]";0
141;2;"[[[391, 211], [418, 239]], [[653, 226], [678, 249]]]";0
142;2;"[[[393, 210], [420, 235]], [[654, 225], [681, 248]]]";0
143;2;"[[[394, 207], [422, 229]], [[653, 220], [676, 247]]]";0
144;2;"[[[393, 205], [421, 230]], [[653, 220], [677, 242]]]";0
145;2;"[[[395, 205], [421, 229]], [[653, 218], [682, 243]]]";0
146;2;"[[[393, 203], [419, 226]], [[654, 211], [678, 241]]]";0
147;2;"[[[397, 197], [421, 224]], [[657, 211], [683, 239]]]";0
148;2;"[[[394, 195], [422, 220]], [[652, 209], [682, 234]]]";0
149;2;"[[[394, 193], [427, 220]], [[653, 207], [683, 232]]]";0
150;2;"[[[396, 190], [424, 213]], [[656, 203], [681, 230]]]";0
151;2;"[[[401, 185], [430, 212]], [[660, 197], [683, 223]]]";0
152;2;"[[[403, 182], [431, 206]], [[665, 195], [692, 219]]]";0
153;2;"[[[409, 175], [434, 200]], [[669, 188], [691, 213]]]";0
154;2;"[[[411, 169], [437, 197]], [[669, 186], [698, 211]]]";0
155;2;"[[[410, 169], [436, 193]], [[666, 179], [697, 205]]]";0
156;2;"[[[406, 166], [439, 189]], [[666, 177], [695, 202]]]";0
157;2;"[[[408, 163], [437, 188]], [[667, 174], [694, 198]]]";0
158;2;"[[[407, 158], [437, 182]], [[667, 173], [693, 196]]]";0
159;2;"[[[407, 154], [433, 179]], [[668, 171], [693, 193]]]";0
160;2;"[[[408, 153], [432, 175]], [[667, 167], [695, 192]]]";0
161;2;"[[[406, 147], [435, 175]], [[666, 161], [692, 189]]]";0
162;2;"[[[406, 145], [434, 171]], [[668, 158], [693, 187]]]";0
163;2;"[[[403, 138], [431, 172]], [[664, 155], [692, 183]]]";0
164;2;"[[[403, 139], [426, 165]], [[665, 153], [691, 180]]]";0
165;2;"[[[401, 138], [427, 160]], [[661, 153], [690, 176]]]";0
166;2;"[[[400, 134], [424, 159]], [[662, 149], [689, 172]]]";0
167;2;"[[[399, 130], [423, 156]], [[660, 143], [685, 171]]]";0
168;2;"[[[394, 127], [421, 149]], [[660, 141], [686, 164]]]";0
169;2;"[[[395, 119], [421, 143]], [[658, 134], [686, 158]]]";0
170;2;"[[[397, 119], [426, 141]], [[656, 127], [684, 154]]]";0
171;2;"[[[396, 116], [425, 138]], [[659, 128], [684, 154]]]";0
172;2;"[[[395, 113], [420, 138]], [[658, 124], [681, 150]]]";0
173;2;"[[[393, 109], [420, 136]], [[657, 125], [687, 149]]]";0
174;2;"[[[393, 109], [424, 134]], [[658, 119], [681, 147]]]";0
175;2;"[[[394, 104], [419, 128]], [[658, 120], [681, 145]]]";0
176;2;"[[[392, 101], [417, 125]], [[656, 115], [680, 138]]]";0
177;2;"[[[390, 98], [419, 123]], [[654, 113], [681, 137]]]";0
178;2;"[[[388, 94], [419, 120]], [[654, 109], [683, 136]]]";0
179;2;"[[[387, 90], [413, 118]], [[654, 105], [681, 135]]]";0
180;2;"[[[387, 88], [415, 117]], [[652, 102], [677, 126]]]";0
181;2;"[[[388, 82], [412, 108]], [[653, 102], [679, 125]]]";0
182;2;"[[[386, 80], [417, 104]], [[652, 95], [680, 122]]]";0
183;2;"[[[388, 74], [419, 100]], [[652, 88], [682, 114]]]";0
184;2;"[[[386, 70], [415, 95]], [[653, 82], [678, 110]]]";0
185;2;"[[[385, 64], [416, 91]], [[651, 80], [677, 104]]]";0
186;2;"[[[386, 60], [411, 85]], [[652, 75], [678, 100]]]";0
187;2;"[[[386, 57], [413, 80]], [[650, 69], [680, 96]]]";0
188;2;"[[[385, 50], [412, 77]], [[652, 62], [678, 89]]]";0
189;2;"[[[386, 44], [409, 71]], [[652, 57], [680, 88]]]";0
190;2;"[[[385, 41], [414, 65]], [[652, 53], [681, 80]]]";0
191;2;"[[[386, 36], [415, 62]], [[653, 52], [683, 79]]]";0
192;2;"[[[386, 34], [416, 58]], [[655, 48], [683, 75]]]";0
193;2;"[[[389, 32], [417, 54]], [[658, 48], [682, 74]]]";0
194;2;"[[[390, 28], [419, 51]], [[659, 44], [685, 67]]]";0
195;2;"[[[393, 26], [418, 51]], [[660, 41], [686, 65]]]";0
196;2;"[[[395, 23], [419, 47]], [[663, 40], [687, 64]]]";0
197;2;"[[[396, 20], [423, 45]], [[663, 38], [690, 63]]]";0
198;2;"[[[396, 22], [424, 47]], [[666, 35], [688, 62]]]";0
199;2;"[[[400, 19], [425, 43]], [[666, 36], [694, 58]]]";0
200;2;"[[[401, 18], [426, 43]], [[667, 34], [693, 57]]]";0
201;2;"[[[398, 17], [425, 41]], [[668, 31], [695, 55]]]";0
202;2;"[[[400, 10], [428, 37]], [[670, 28], [695, 54]]]";0
203;2;"[[[401, 11], [431, 37]], [[671, 26], [695, 52]]]";0
204;2;"[[[405, 7], [431, 32]], [[671, 21], [698, 49]]]";0
205;2;"[[[405, 7], [432, 33]], [[673, 23], [702, 45]]]";0
206;2;"[[[404, 3], [429, 27]], [[673, 18], [702, 42]]]";0
207;2;"[[[404, 3], [434, 26]], [[671, 16], [699, 40]]]";0
208;2;"[[[403, 1], [431, 24]], [[668, 12], [698, 40]]]";0
209;2;"[[[400, 1], [429, 22]], [[668, 13], [695, 36]]]";0
210;2;"[[[397, 1], [425, 17]], [[667, 10], [692, 35]]]";0
211;1;"[[[665, 9], [692, 35]]]";0
212;1;"[[[666, 7], [689, 32]]]";0
213;1;"[[[665, 6], [694, 32]]]";0
214;1;"[[[664, 5], [692, 32]]]";0
215;1;"[[[665, 6], [692, 31]]]";0
216;1;"[[[662, 3], [691, 30]]]";0
217;1;"[[[665, 3], [692, 32]]]";0
218;1;"[[[664, 2], [692, 30]]]";0
219;1;"[[[667, 2], [693, 28]]]";0
220;1;"[[[667, 1], [695, 28]]]";0
221;1;"[[[667, 3], [692, 27]]]";0
222;1;"[[[668, 2], [696, 26]]]";0
223;1;"[[[668, 2], [695, 25]]]";0
224;1;"[[[669, 1], [697, 24]]]";0
225;1;"[[[667, 2], [695, 23]]]";0
226;1;"[[[666, 0], [696, 23]]]";0
227;1;"[[[667, 0], [695, 21]]]";0
228;1;"[[[666, 1], [697, 20]]]";0
229;1;"[[[663, 0], [699, 21]]]";0
230;1;"[[[667, 0], [697, 22]]]";0
231;1;"[[[669, 0], [701, 21]]]";0
232;1;"[[[669, 0], [699, 21]]]";0
233;1;"[[[671, 1], [696, 21]]]";0
234;1;"[[[671, 0], [699, 21]]]";0
235;1;"[[[671, 1], [698, 21]]]";0
236;1;"[[[672, 1], [699, 25]]]";0
237;1;"[[[672, 1], [700, 23]]]";0
238;1;"[[[671, 0], [703, 25]]]";0
239;1;"[[[672, 1], [701, 26]]]";0
240;1;"[[[673, 2], [699, 25]]]";0
241;1;"[[[675, 1], [700, 26]]]";0
242;1;"[[[673, 3], [703, 29]]]";0
243;1;"[[[672, 6], [699, 29]]]";0
244;1;"[[[402, 0], [432, 20]]]";0
245;2;"[[[407, 0], [431, 23]], [[676, 10], [699, 34]]]";0
246;2;"[[[408, 0], [435, 25]], [[672, 11], [699, 37]]]";0
247;2;"[[[407, 1], [439, 26]], [[673, 11], [701, 39]]]";0
248;2;"[[[405, 2], [436, 28]], [[674, 10], [701, 42]]]";0
249;2;"[[[406, 3], [433, 30]], [[675, 13], [700, 41]]]";0
250;2;"[[[409, 3], [434, 30]], [[676, 17], [704, 40]]]";0
251;2;"[[[407, 6], [433, 29]], [[675, 14], [700, 42]]]";0
252;2;"[[[405, 5], [434, 30]], [[676, 15], [701, 39]]]";0
253;2;"[[[405, 4], [434, 28]], [[676, 17], [700, 41]]]";0
254;2;"[[[404, 4], [432, 29]], [[673, 15], [700, 43]]]";0
255;2;"[[[404, 4], [432, 29]], [[672, 14], [701, 40]]]";0
256;2;"[[[404, 3], [431, 28]], [[673, 15], [700, 42]]]";0
257;2;"[[[406, 3], [434, 28]], [[672, 13], [700, 41]]]";0
258;2;"[[[404, 3], [431, 25]], [[674, 13], [699, 40]]]";0
259;2;"[[[403, 4], [431, 27]], [[673, 13], [696, 40]]]";0
260;2;"[[[402, 3], [431, 30]], [[672, 13], [699, 43]]]";0
261;2;"[[[405, 5], [432, 31]], [[672, 16], [700, 43]]]";0
262;2;"[[[405, 7], [434, 35]], [[672, 17], [699, 47]]]";0
263;2;"[[[406, 9], [432, 36]], [[673, 25], [699, 51]]]";0
264;2;"[[[408, 11], [438, 39]], [[674, 27], [699, 50]]]";0
265;2;"[[[410, 14], [437, 41]], [[674, 28], [700, 56]]]";0
266;2;"[[[410, 19], [439, 45]], [[675, 32], [699, 60]]]";0
267;2;"[[[411, 26], [435, 54]], [[676, 36], [701, 63]]]";0
268;2;"[[[413, 30], [436, 57]], [[677, 43], [705, 70]]]";0
269;2;"[[[414, 36], [441, 65]], [[678, 51], [705, 78]]]";0
270;2;"[[[413, 47], [442, 74]], [[677, 58], [703, 84]]]";0
271;2;"[[[414, 57], [443, 82]], [[678, 64], [702, 91]]]";0
272;2;"[[[412, 63], [441, 90]], [[677, 75], [702, 102]]]";0
273;2;"[[[413, 71], [438, 95]], [[674, 79], [701, 107]]]";0
274;2;"[[[412, 79], [435, 103]], [[673, 87], [697, 115]]]";0
275;2;"[[[410, 84], [437, 110]], [[674, 97], [700, 124]]]";0
276;2;"[[[412, 93], [438, 117]], [[676, 105], [697, 129]]]";0
277;2;"[[[414, 97], [437, 126]], [[675, 107], [700, 135]]]";0
278;2;"[[[410, 103], [439, 131]], [[671, 113], [700, 139]]]";0
279;2;"[[[411, 106], [440, 133]], [[671, 116], [697, 145]]]";0
280;2;"[[[410, 113], [437, 139]], [[673, 122], [698, 148]]]";0
281;2;"[[[411, 119], [436, 144]], [[673, 126], [696, 156]]]";0
282;2;"[[[412, 121], [435, 148]], [[672, 135], [700, 162]]]";0
283;2;"[[[412, 130], [437, 157]], [[674, 140], [699, 166]]]";0
284;2;"[[[414, 136], [441, 164]], [[672, 147], [699, 172]]]";0
285;2;"[[[415, 139], [441, 168]], [[673, 153], [700, 184]]]";0
286;2;"[[[413, 144], [440, 174]], [[674, 155], [701, 183]]]";0
287;2;"[[[414, 148], [442, 174]], [[673, 158], [700, 187]]]";0
288;2;"[[[416, 151], [442, 180]], [[674, 163], [701, 193]]]";0
289;2;"[[[416, 156], [443, 185]], [[674, 166], [700, 197]]]";0
290;2;"[[[417, 162], [444, 190]], [[676, 173], [701, 201]]]";0
291;2;"[[[420, 164], [445, 194]], [[675, 179], [703, 206]]]";0
292;2;"[[[417, 173], [444, 201]], [[676, 182], [702, 210]]]";0
293;2;"[[[419, 178], [444, 206]], [[677, 186], [704, 215]]]";0
294;2;"[[[420, 182], [446, 210]], [[677, 192], [703, 221]]]";0
295;2;"[[[419, 189], [444, 214]], [[679, 199], [702, 226]]]";0
296;2;"[[[417, 195], [442, 219]], [[677, 205], [699, 231]]]";0
297;2;"[[[416, 199], [440, 227]], [[673, 210], [698, 237]]]";0
298;2;"[[[415, 204], [438, 231]], [[673, 214], [696, 244]]]";0
299;2;"[[[416, 206], [440, 233]], [[674, 218], [700, 243]]]";0
300;2;"[[[416, 210], [444, 241]], [[673, 222], [697, 251]]]";0
301;2;"[[[417, 216], [447, 245]], [[673, 226], [697, 254]]]";0
302;2;"[[[414, 221], [442, 248]], [[672, 232], [699, 259]]]";0
303;2;"[[[412, 224], [438, 252]], [[670, 238], [693, 262]]]";0
304;2;"[[[412, 225], [437, 256]], [[672, 239], [698, 269]]]";0
305;2;"[[[412, 227], [440, 258]], [[668, 240], [697, 271]]]";0
306;2;"[[[411, 232], [439, 261]], [[669, 240], [694, 271]]]";0
307;2;"[[[414, 234], [436, 261]], [[671, 243], [696, 272]]]";0
308;2;"[[[412, 235], [441, 263]], [[670, 249], [696, 274]]]";0
309;2;"[[[414, 236], [440, 266]], [[670, 250], [698, 280]]]";0
310;2;"[[[412, 240], [436, 267]], [[669, 253], [698, 280]]]";0
311;2;"[[[411, 241], [436, 268]], [[667, 257], [694, 281]]]";0
312;2;"[[[410, 240], [434, 268]], [[668, 256], [692, 282]]]";0
313;2;"[[[411, 245], [438, 276]], [[668, 262], [697, 287]]]";0
314;2;"[[[409, 250], [435, 279]], [[669, 267], [693, 291]]]";0
315;2;"[[[410, 254], [435, 279]], [[665, 268], [693, 296]]]";0
316;2;"[[[411, 256], [432, 287]], [[667, 270], [691, 302]]]";0
317;2;"[[[410, 259], [437, 289]], [[666, 276], [694, 305]]]";0
318;2;"[[[411, 263], [437, 290]], [[668, 279], [691, 306]]]";0
319;2;"[[[408, 265], [433, 294]], [[667, 278], [690, 308]]]";0
320;2;"[[[408, 271], [430, 300]], [[664, 285], [687, 314]]]";0
321;2;"[[[408, 276], [431, 304]], [[663, 290], [688, 315]]]";0
322;2;"[[[409, 280], [431, 307]], [[664, 296], [690, 323]]]";0
323;2;"[[[407, 283], [435, 315]], [[664, 300], [688, 326]]]";0
324;2;"[[[410, 287], [432, 316]], [[663, 298], [690, 329]]]";0
325;2;"[[[409, 289], [435, 320]], [[667, 304], [690, 333]]]";0
326;2;"[[[413, 294], [433, 324]], [[669, 309], [695, 333]]]";0
327;2;"[[[413, 296], [438, 327]], [[670, 314], [693, 338]]]";0
328;2;"[[[410, 298], [439, 333]], [[666, 313], [697, 344]]]";0
329;2;"[[[413, 305], [440, 338]], [[668, 318], [695, 349]]]";0
330;2;"[[[418, 313], [446, 346]], [[672, 329], [700, 358]]]";0
331;2;"[[[426, 325], [450, 356]], [[680, 338], [705, 369]]]";0
332;2;"[[[430, 332], [456, 363]], [[684, 346], [707, 373]]]";0
333;2;"[[[432, 343], [458, 372]], [[686, 358], [708, 384]]]";0
334;2;"[[[431, 349], [455, 381]], [[687, 364], [713, 390]]]";0
335;2;"[[[433, 354], [461, 386]], [[687, 371], [712, 398]]]";0
336;2;"[[[436, 361], [461, 388]], [[689, 374], [712, 399]]]";0
337;2;"[[[438, 364], [461, 393]], [[687, 378], [717, 403]]]";0
338;2;"[[[439, 363], [462, 396]], [[690, 381], [720, 407]]]";0
339;2;"[[[440, 368], [462, 397]], [[692, 381], [713, 408]]]";0
340;2;"[[[442, 371], [466, 401]], [[691, 384], [718, 415]]]";0
341;2;"[[[441, 374], [467, 402]], [[691, 389], [719, 415]]]";0
342;2;"[[[441, 375], [465, 405]], [[691, 389], [719, 420]]]";0
343;2;"[[[439, 380], [467, 409]], [[694, 395], [718, 422]]]";0
344;2;"[[[442, 384], [467, 411]], [[695, 400], [717, 424]]]";0
345;2;"[[[443, 389], [471, 414]], [[695, 403], [718, 429]]]";0
346;2;"[[[442, 395], [468, 420]], [[695, 409], [719, 433]]]";0
347;2;"[[[443, 397], [467, 427]], [[695, 409], [723, 437]]]";0
348;2;"[[[444, 401], [472, 433]], [[695, 416], [723, 440]]]";0
349;2;"[[[449, 404], [470, 428]], [[700, 416], [723, 444]]]";0
350;2;"[[[447, 406], [474, 434]], [[701, 421], [724, 449]]]";0
351;2;"[[[448, 409], [475, 439]], [[700, 422], [731, 450]]]";0
352;2;"[[[449, 414], [472, 444]], [[698, 429], [726, 456]]]";0
353;2;"[[[447, 420], [470, 448]], [[699, 434], [722, 461]]]";0
354;2;"[[[446, 423], [475, 454]], [[696, 438], [723, 467]]]";0
355;2;"[[[449, 427], [472, 454]], [[700, 441], [725, 470]]]";0
356;2;"[[[449, 429], [477, 460]], [[700, 444], [723, 469]]]";0
357;2;"[[[451, 432], [474, 459]], [[701, 444], [729, 470]]]";0
358;2;"[[[450, 434], [476, 463]], [[702, 449], [726, 473]]]";0
359;2;"[[[452, 437], [473, 463]], [[703, 452], [735, 479]]]";0
360;2;"[[[450, 443], [471, 467]], [[700, 457], [724, 484]]]";0
361;2;"[[[448, 444], [470, 473]], [[700, 460], [724, 486]]]";0
362;2;"[[[448, 451], [471, 483]], [[698, 462], [725, 494]]]";0
363;2;"[[[447, 453], [472, 483]], [[697, 469], [721, 495]]]";0
364;2;"[[[447, 455], [467, 484]], [[698, 467], [724, 498]]]";0
365;2;"[[[445, 457], [471, 485]], [[695, 468], [718, 496]]]";0
366;2;"[[[444, 454], [468, 486]], [[694, 472], [717, 498]]]";0
367;2;"[[[442, 458], [470, 488]], [[693, 472], [723, 500]]]";0
368;2;"[[[444, 459], [470, 493]], [[695, 476], [721, 504]]]";0
369;2;"[[[444, 461], [469, 492]], [[692, 476], [721, 507]]]";0
370;2;"[[[444, 466], [467, 496]], [[695, 484], [719, 509]]]";0
371;2;"[[[444, 472], [470, 498]], [[696, 488], [719, 516]]]";0
372;2;"[[[443, 476], [468, 503]], [[696, 491], [723, 517]]]";0
373;2;"[[[446, 483], [472, 513]], [[696, 496], [725, 524]]]";0
374;2;"[[[445, 491], [471, 520]], [[697, 504], [722, 532]]]";0
375;2;"[[[445, 497], [469, 523]], [[694, 511], [725, 539]]]";0
376;2;"[[[441, 503], [469, 532]], [[697, 520], [720, 544]]]";0
377;2;"[[[441, 510], [466, 537]], [[695, 521], [722, 549]]]";0
378;2;"[[[443, 513], [470, 543]], [[697, 529], [719, 557]]]";0
