frameno;no_of_circles;bounding_box_position;color
1560;2;"[[[259, 343], [290, 371]], [[502, 370], [533, 397]]]";0
1570;2;"[[[351, 355], [382, 384]], [[589, 379], [614, 406]]]";0
1580;2;"[[[469, 355], [499, 384]], [[697, 374], [723, 398]]]";0
1590;2;"[[[567, 348], [594, 376]], [[788, 367], [817, 391]]]";0
1600;2;"[[[580, 355], [608, 381]], [[804, 374], [831, 397]]]";0
1610;2;"[[[570, 362], [602, 390]], [[794, 378], [822, 404]]]";0
1620;2;"[[[564, 354], [590, 383]], [[785, 373], [808, 402]]]";0
1630;2;"[[[546, 359], [576, 387]], [[769, 382], [797, 403]]]";0
1640;2;"[[[548, 363], [579, 385]], [[768, 380], [793, 407]]]";0
1650;2;"[[[552, 364], [585, 392]], [[778, 383], [805, 409]]]";0
1660;2;"[[[568, 376], [601, 403]], [[789, 396], [818, 424]]]";0
1670;2;"[[[572, 369], [599, 397]], [[791, 387], [821, 414]]]";0
1680;2;"[[[568, 368], [598, 395]], [[789, 387], [819, 408]]]";0
1690;2;"[[[571, 365], [604, 392]], [[796, 383], [820, 408]]]";0
1700;2;"[[[572, 365], [604, 393]], [[793, 383], [819, 413]]]";0
1710;2;"[[[573, 360], [604, 391]], [[796, 380], [822, 404]]]";0
1720;2;"[[[570, 364], [597, 400]], [[791, 387], [817, 416]]]";0
1730;2;"[[[560, 364], [593, 394]], [[785, 383], [814, 412]]]";0
1740;2;"[[[573, 357], [603, 389]], [[795, 380], [819, 404]]]";0
1750;2;"[[[571, 352], [597, 381]], [[790, 372], [819, 399]]]";0
1760;2;"[[[565, 349], [595, 375]], [[786, 372], [815, 394]]]";0
1770;2;"[[[575, 354], [604, 381]], [[799, 374], [824, 399]]]";0
1780;2;"[[[578, 359], [611, 386]], [[802, 375], [833, 404]]]";0
1790;2;"[[[591, 362], [621, 394]], [[810, 384], [835, 407]]]";0
1800;2;"[[[590, 359], [617, 387]], [[811, 382], [836, 410]]]";0
1810;2;"[[[574, 358], [601, 390]], [[795, 383], [823, 410]]]";0
1820;2;"[[[578, 359], [605, 388]], [[799, 380], [827, 408]]]";0
1830;2;"[[[572, 349], [600, 379]], [[790, 370], [815, 394]]]";0
1840;2;"[[[578, 335], [606, 365]], [[800, 355], [823, 385]]]";0
1850;2;"[[[580, 330], [605, 362]], [[800, 351], [830, 378]]]";0
1860;2;"[[[587, 329], [618, 356]], [[811, 348], [835, 375]]]";0
1870;2;"[[[585, 329], [614, 361]], [[807, 350], [829, 377]]]";0
1880;2;"[[[582, 330], [612, 360]], [[801, 351], [829, 378]]]";0
1890;2;"[[[576, 329], [608, 358]], [[797, 348], [830, 374]]]";0
1900;2;"[[[581, 313], [614, 343]], [[806, 335], [831, 360]]]";0
1910;2;"[[[580, 312], [612, 342]], [[805, 333], [832, 359]]]";0
1920;2;"[[[591, 413], [621, 438]], [[814, 430], [837, 456]]]";0
1930;2;"[[[589, 479], [621, 511]], [[810, 501], [838, 524]]]";0
1940;2;"[[[579, 561], [612, 589]], [[799, 581], [832, 604]]]";0
1950;0;"[]";0
1960;0;"[]";0
1970;0;"[]";0
1980;0;"[]";0
1990;0;"[]";0
2000;2;"[[[560, 634], [586, 663]], [[780, 649], [808, 679]]]";0
2010;2;"[[[566, 550], [590, 579]], [[788, 568], [812, 595]]]";0
2020;2;"[[[556, 417], [584, 452]], [[779, 435], [805, 461]]]";0
2030;2;"[[[539, 290], [569, 321]], [[764, 304], [791, 334]]]";0
2040;2;"[[[521, 147], [549, 177]], [[750, 167], [777, 195]]]";0
2050;2;"[[[520, 111], [552, 142]], [[754, 130], [780, 159]]]";0
2060;2;"[[[531, 137], [564, 166]], [[763, 155], [792, 188]]]";0
2070;2;"[[[545, 211], [575, 237]], [[768, 229], [800, 258]]]";0
2080;2;"[[[538, 359], [564, 388]], [[762, 378], [789, 408]]]";0
2090;2;"[[[540, 422], [568, 451]], [[765, 444], [792, 472]]]";0
2100;2;"[[[548, 413], [579, 445]], [[769, 436], [800, 465]]]";0
2110;1;"[[[777, 420], [804, 441]]]";0
2120;0;"[]";0
2130;2;"[[[564, 396], [596, 427]], [[785, 420], [809, 450]]]";0
2140;2;"[[[558, 408], [586, 440]], [[778, 434], [804, 462]]]";0
2150;2;"[[[556, 431], [587, 460]], [[781, 458], [803, 486]]]";0
2160;2;"[[[549, 485], [581, 516]], [[770, 508], [799, 537]]]";0
2170;2;"[[[543, 508], [577, 541]], [[768, 531], [798, 561]]]";0
2180;2;"[[[550, 489], [584, 530]], [[772, 513], [795, 544]]]";0
2190;2;"[[[550, 380], [577, 411]], [[769, 403], [796, 434]]]";0
2200;2;"[[[547, 335], [582, 372]], [[771, 359], [798, 387]]]";0
2210;2;"[[[549, 333], [575, 364]], [[774, 358], [795, 381]]]";0
2220;2;"[[[558, 317], [591, 349]], [[781, 338], [806, 369]]]";0
2230;2;"[[[560, 318], [591, 349]], [[785, 342], [808, 373]]]";0
2240;2;"[[[554, 307], [590, 339]], [[780, 325], [808, 357]]]";0
2250;2;"[[[544, 300], [583, 330]], [[772, 320], [805, 351]]]";0
2260;2;"[[[535, 299], [569, 331]], [[762, 322], [787, 348]]]";0
2270;2;"[[[508, 275], [539, 312]], [[733, 301], [759, 329]]]";0
2280;2;"[[[501, 267], [535, 303]], [[728, 297], [761, 325]]]";0
2290;2;"[[[508, 268], [539, 300]], [[736, 290], [763, 319]]]";0
2300;2;"[[[556, 292], [585, 319]], [[782, 313], [807, 340]]]";0
2310;2;"[[[550, 310], [579, 339]], [[775, 327], [802, 356]]]";0
2320;2;"[[[564, 302], [593, 332]], [[790, 317], [817, 347]]]";0
2330;2;"[[[544, 265], [571, 297]], [[768, 285], [794, 314]]]";0
2340;2;"[[[557, 265], [584, 295]], [[780, 282], [806, 311]]]";0
2350;2;"[[[559, 255], [589, 286]], [[783, 275], [814, 305]]]";0
2360;2;"[[[576, 269], [607, 304]], [[799, 288], [826, 323]]]";0
2370;2;"[[[585, 272], [616, 302]], [[806, 292], [836, 323]]]";0
2380;2;"[[[607, 270], [637, 308]], [[825, 297], [860, 326]]]";0
2390;2;"[[[601, 243], [633, 278]], [[828, 268], [851, 298]]]";0
2400;2;"[[[582, 246], [612, 274]], [[804, 268], [839, 299]]]";0
2410;2;"[[[550, 238], [577, 269]], [[774, 261], [806, 289]]]";0
2420;2;"[[[526, 208], [553, 242]], [[752, 231], [783, 258]]]";0
2430;2;"[[[534, 223], [568, 255]], [[765, 243], [796, 269]]]";0
2440;2;"[[[515, 215], [546, 240]], [[745, 235], [773, 264]]]";0
2450;1;"[[[744, 277], [771, 299]]]";1
2460;2;"[[[517, 247], [551, 278]], [[747, 271], [780, 302]]]";1
2470;2;"[[[529, 249], [556, 278]], [[755, 275], [782, 302]]]";1
2480;2;"[[[520, 248], [553, 279]], [[754, 268], [780, 300]]]";1
2490;2;"[[[498, 240], [534, 268]], [[731, 259], [758, 289]]]";1
2500;2;"[[[502, 237], [531, 269]], [[733, 256], [762, 286]]]";1
2510;2;"[[[543, 252], [576, 284]], [[773, 273], [801, 300]]]";1
2520;2;"[[[538, 242], [571, 269]], [[769, 260], [800, 287]]]";1
2530;2;"[[[462, 294], [492, 324]], [[696, 313], [727, 343]]]";1
2540;1;"[[[692, 314], [722, 344]]]";1
2550;0;"[]";1
2560;0;"[]";1
2570;1;"[[[429, 268], [470, 297]]]";1
2580;2;"[[[460, 271], [489, 305]], [[697, 293], [730, 328]]]";1
2590;2;"[[[496, 246], [529, 280]], [[730, 265], [760, 298]]]";1
2600;2;"[[[519, 244], [552, 274]], [[756, 262], [783, 296]]]";1
2610;2;"[[[431, 246], [466, 279]], [[674, 268], [714, 306]]]";1
2620;2;"[[[530, 300], [566, 334]], [[773, 317], [799, 349]]]";1
2630;2;"[[[545, 231], [573, 261]], [[784, 248], [814, 276]]]";1
2640;2;"[[[440, 213], [477, 246]], [[693, 232], [719, 264]]]";1
2650;2;"[[[437, 295], [476, 324]], [[695, 316], [720, 350]]]";1
2660;2;"[[[520, 229], [555, 263]], [[769, 251], [804, 285]]]";1
2670;2;"[[[432, 205], [466, 239]], [[695, 235], [727, 270]]]";1
2680;2;"[[[377, 269], [412, 306]], [[651, 300], [681, 332]]]";1
2690;2;"[[[425, 202], [463, 235]], [[699, 230], [729, 262]]]";1
2700;2;"[[[377, 207], [409, 245]], [[658, 239], [684, 276]]]";1
2710;2;"[[[380, 243], [415, 280]], [[662, 266], [694, 301]]]";1
2720;2;"[[[446, 197], [483, 232]], [[727, 218], [762, 258]]]";1
2730;2;"[[[386, 146], [420, 187]], [[669, 179], [704, 215]]]";1
2740;2;"[[[353, 247], [387, 282]], [[644, 276], [676, 314]]]";1
2750;2;"[[[435, 201], [478, 240]], [[726, 223], [758, 261]]]";1
2760;2;"[[[357, 239], [390, 273]], [[658, 270], [688, 305]]]";1
2770;2;"[[[346, 253], [384, 287]], [[650, 275], [689, 312]]]";1
2780;2;"[[[378, 225], [413, 260]], [[684, 248], [721, 282]]]";1
2790;2;"[[[305, 196], [340, 229]], [[620, 215], [664, 252]]]";1
2800;2;"[[[333, 250], [372, 288]], [[650, 279], [690, 315]]]";1
2810;2;"[[[339, 173], [381, 211]], [[667, 199], [707, 238]]]";1
2820;2;"[[[280, 97], [317, 140]], [[617, 131], [662, 176]]]";1
2830;2;"[[[238, 177], [280, 220]], [[584, 215], [629, 256]]]";1
2840;2;"[[[352, 183], [389, 221]], [[684, 212], [725, 248]]]";1
2850;2;"[[[255, 132], [297, 174]], [[611, 169], [651, 207]]]";1
2860;2;"[[[236, 201], [282, 242]], [[604, 237], [639, 278]]]";1
2870;2;"[[[257, 149], [306, 189]], [[629, 181], [675, 230]]]";1
2880;1;"[[[578, 162], [623, 203]]]";1
2890;1;"[[[601, 163], [645, 204]]]";1
2900;1;"[[[589, 172], [646, 218]]]";1
2910;1;"[[[510, 94], [554, 134]]]";1
2920;1;"[[[590, 175], [629, 217]]]";1
2930;1;"[[[586, 183], [639, 231]]]";1
2940;1;"[[[514, 125], [572, 176]]]";1
2950;1;"[[[558, 179], [606, 224]]]";1
2960;1;"[[[586, 164], [634, 215]]]";1
2970;1;"[[[507, 176], [554, 226]]]";1
2980;1;"[[[494, 75], [551, 132]]]";1
2990;1;"[[[492, 138], [534, 192]]]";1
3000;1;"[[[399, 130], [452, 186]]]";1
3010;1;"[[[466, 58], [522, 117]]]";1
3020;1;"[[[411, 97], [467, 160]]]";1
3030;1;"[[[307, 67], [377, 135]]]";1
3040;1;"[[[361, 72], [427, 135]]]";1
3050;1;"[[[311, 125], [378, 192]]]";1
3060;1;"[[[326, 170], [399, 237]]]";1
3070;1;"[[[360, 287], [428, 351]]]";1
3080;1;"[[[369, 428], [437, 497]]]";1
3090;1;"[[[296, 352], [366, 421]]]";1
3100;0;"[]";1
3110;0;"[]";1
3120;0;"[]";1
3130;0;"[]";1
3140;0;"[]";1
3150;0;"[]";1
3160;0;"[]";1
3170;0;"[]";1
3180;0;"[]";1
3190;0;"[]";1
3200;0;"[]";1
3210;0;"[]";1
3220;0;"[]";1
3230;0;"[]";1
3240;0;"[]";1
3250;0;"[]";1
3260;0;"[]";1
3270;0;"[]";1
3280;0;"[]";1
3290;0;"[]";1
3300;0;"[]";1
3310;2;"[[[148, 302], [179, 335]], [[410, 332], [439, 360]]]";0
3320;2;"[[[468, 283], [496, 314]], [[694, 306], [722, 336]]]";0
3330;2;"[[[603, 233], [635, 263]], [[825, 247], [853, 274]]]";0
3340;2;"[[[585, 232], [614, 258]], [[811, 248], [837, 274]]]";0
3350;2;"[[[584, 242], [613, 267]], [[805, 254], [833, 288]]]";0
3360;2;"[[[561, 232], [589, 265]], [[783, 250], [808, 274]]]";0
3370;2;"[[[581, 246], [612, 279]], [[806, 261], [831, 288]]]";0
3380;2;"[[[577, 244], [611, 276]], [[796, 258], [823, 284]]]";0
3390;2;"[[[520, 236], [550, 268]], [[747, 250], [775, 282]]]";0
3400;2;"[[[490, 220], [530, 252]], [[724, 245], [753, 273]]]";0
3410;2;"[[[479, 210], [516, 244]], [[711, 236], [740, 265]]]";0
3420;2;"[[[504, 213], [534, 245]], [[734, 238], [758, 264]]]";0
3430;2;"[[[512, 220], [545, 249]], [[736, 242], [770, 273]]]";0
3440;2;"[[[548, 193], [579, 227]], [[770, 222], [801, 252]]]";0
3450;2;"[[[523, 214], [563, 251]], [[755, 243], [782, 275]]]";0
3460;2;"[[[504, 231], [533, 264]], [[730, 255], [756, 285]]]";0
3470;2;"[[[504, 210], [538, 242]], [[731, 232], [764, 263]]]";0
3480;2;"[[[509, 199], [541, 234]], [[738, 225], [764, 255]]]";0
3490;2;"[[[525, 178], [555, 210]], [[751, 204], [783, 236]]]";0
3500;2;"[[[491, 191], [516, 219]], [[716, 209], [744, 243]]]";0
3510;2;"[[[473, 169], [509, 197]], [[702, 187], [734, 220]]]";0
3520;2;"[[[468, 149], [502, 181]], [[701, 172], [735, 209]]]";0
3530;2;"[[[464, 142], [502, 173]], [[699, 166], [733, 207]]]";0
3540;2;"[[[466, 141], [503, 176]], [[702, 164], [728, 201]]]";0
3550;2;"[[[473, 144], [500, 178]], [[696, 174], [733, 212]]]";0
3560;2;"[[[461, 140], [494, 175]], [[693, 167], [720, 199]]]";0
3570;2;"[[[470, 140], [495, 174]], [[694, 163], [731, 200]]]";0
3580;2;"[[[457, 133], [493, 170]], [[689, 159], [720, 197]]]";0
3590;2;"[[[446, 184], [472, 217]], [[677, 213], [704, 248]]]";1
3600;2;"[[[471, 201], [498, 226]], [[699, 224], [731, 256]]]";1
3610;2;"[[[500, 201], [532, 230]], [[723, 225], [757, 259]]]";1
3620;2;"[[[498, 189], [529, 219]], [[719, 211], [757, 250]]]";1
3630;2;"[[[457, 194], [493, 229]], [[694, 220], [725, 253]]]";1
3640;2;"[[[470, 166], [504, 199]], [[701, 189], [736, 225]]]";1
3650;2;"[[[456, 200], [487, 232]], [[690, 219], [722, 250]]]";1
3660;2;"[[[363, 177], [401, 211]], [[609, 202], [640, 234]]]";1
3670;2;"[[[548, 228], [573, 259]], [[773, 247], [809, 277]]]";1
3680;2;"[[[551, 183], [586, 211]], [[788, 200], [817, 234]]]";1
3690;2;"[[[462, 172], [503, 204]], [[709, 196], [745, 228]]]";1
3700;2;"[[[514, 226], [546, 259]], [[755, 244], [789, 278]]]";1
3710;2;"[[[542, 159], [574, 193]], [[783, 180], [816, 218]]]";1
3720;2;"[[[471, 125], [507, 163]], [[725, 150], [765, 186]]]";1
3730;2;"[[[491, 234], [523, 263]], [[743, 256], [771, 294]]]";1
3740;2;"[[[532, 152], [567, 191]], [[786, 182], [822, 217]]]";1
3750;2;"[[[465, 119], [503, 161]], [[732, 155], [765, 190]]]";1
3760;1;"[[[782, 297], [817, 332]]]";1
3770;2;"[[[513, 265], [548, 300]], [[781, 297], [813, 331]]]";1
3780;2;"[[[414, 164], [460, 202]], [[700, 198], [735, 236]]]";1
3790;2;"[[[631, 133], [675, 175]], [[905, 163], [944, 204]]]";1
3800;2;"[[[879, 190], [914, 220]], [[1142, 205], [1178, 243]]]";1
3810;1;"[[[1043, 199], [1074, 232]]]";1
3820;1;"[[[1214, 232], [1246, 272]]]";1
3830;0;"[]";1
3840;0;"[]";1
3850;2;"[[[932, 282], [968, 313]], [[1215, 291], [1256, 328]]]";1
3860;2;"[[[752, 248], [784, 280]], [[1046, 272], [1074, 306]]]";1
3870;2;"[[[439, 195], [477, 233]], [[749, 227], [794, 269]]]";1
3880;2;"[[[348, 200], [391, 236]], [[677, 228], [712, 267]]]";1
3890;2;"[[[417, 181], [451, 216]], [[741, 214], [778, 255]]]";1
3900;2;"[[[360, 129], [406, 165]], [[701, 155], [744, 198]]]";1
3910;2;"[[[431, 130], [477, 170]], [[767, 152], [811, 192]]]";1
3920;2;"[[[463, 132], [507, 172]], [[805, 160], [846, 201]]]";1
3930;2;"[[[352, 88], [397, 127]], [[706, 113], [748, 156]]]";1
3940;2;"[[[427, 116], [473, 151]], [[786, 132], [828, 168]]]";1
3950;2;"[[[438, 129], [480, 173]], [[792, 156], [841, 200]]]";1
3960;2;"[[[346, 111], [394, 153]], [[724, 132], [770, 177]]]";1
3970;2;"[[[403, 93], [457, 137]], [[780, 105], [832, 150]]]";1
3980;1;"[[[744, 155], [798, 205]]]";1
3990;1;"[[[728, 136], [786, 181]]]";1
4000;1;"[[[775, 28], [835, 80]]]";1
4010;1;"[[[685, 127], [734, 176]]]";1
4020;1;"[[[690, 158], [747, 203]]]";1
4030;1;"[[[700, 70], [755, 115]]]";1
4040;1;"[[[558, 80], [617, 139]]]";1
4050;1;"[[[519, 66], [582, 123]]]";1
4060;1;"[[[585, 37], [645, 90]]]";1
4070;1;"[[[508, 3], [576, 56]]]";1
4080;1;"[[[537, 37], [595, 97]]]";1
4090;1;"[[[577, 302], [635, 366]]]";1
4100;1;"[[[494, 288], [562, 347]]]";1
4110;1;"[[[544, 264], [613, 336]]]";1
4120;1;"[[[513, 296], [586, 362]]]";1
4130;1;"[[[536, 281], [606, 344]]]";1
4140;1;"[[[604, 114], [681, 187]]]";1
4150;1;"[[[499, 129], [577, 205]]]";1
4160;0;"[]";1
4170;0;"[]";1
4180;0;"[]";1
4190;0;"[]";1
4200;0;"[]";1
4210;0;"[]";1
4220;0;"[]";1
4230;0;"[]";1
4240;0;"[]";1
4250;0;"[]";1
4260;0;"[]";1
4270;0;"[]";1
4280;0;"[]";1
4290;0;"[]";1
4300;0;"[]";1
4310;0;"[]";1
4320;0;"[]";1
4330;0;"[]";1
4340;0;"[]";1
4350;0;"[]";1
4360;0;"[]";1
4370;1;"[[[205, 273], [242, 311]]]";0
4380;2;"[[[200, 266], [233, 302]], [[414, 286], [444, 320]]]";0
4390;2;"[[[378, 264], [409, 303]], [[576, 283], [605, 313]]]";0
4400;2;"[[[508, 271], [542, 309]], [[695, 285], [728, 314]]]";0
4410;2;"[[[565, 281], [592, 312]], [[748, 295], [780, 325]]]";0
4420;2;"[[[547, 273], [582, 304]], [[736, 288], [765, 318]]]";0
4430;0;"[]";0
4440;0;"[]";0
4450;2;"[[[941, 317], [972, 348]], [[1121, 327], [1150, 351]]]";0
4460;0;"[]";0
4470;0;"[]";0
4480;0;"[]";0
