frameno;no_of_circles;bounding_box_position;color
1800;2;"[[[516, 223], [559, 263]], [[751, 247], [774, 282]]]";0
1820;2;"[[[510, 195], [543, 245]], [[745, 226], [765, 260]]]";0
1840;2;"[[[518, 199], [552, 239]], [[745, 228], [776, 265]]]";0
1860;2;"[[[519, 200], [551, 234]], [[744, 219], [781, 254]]]";0
1880;2;"[[[529, 222], [566, 258]], [[759, 251], [788, 288]]]";0
1900;2;"[[[517, 217], [553, 260]], [[742, 251], [777, 288]]]";0
1920;2;"[[[511, 218], [545, 257]], [[738, 249], [766, 287]]]";0
1940;2;"[[[486, 212], [523, 254]], [[715, 239], [752, 280]]]";0
1960;2;"[[[496, 214], [530, 249]], [[723, 242], [755, 279]]]";0
1980;2;"[[[472, 207], [510, 244]], [[702, 237], [742, 273]]]";0
2000;2;"[[[467, 204], [500, 238]], [[696, 231], [729, 269]]]";0
2020;2;"[[[504, 191], [535, 231]], [[731, 224], [759, 259]]]";0
2040;2;"[[[487, 203], [528, 246]], [[717, 232], [758, 268]]]";0
2060;2;"[[[417, 218], [454, 258]], [[648, 246], [688, 282]]]";0
2080;2;"[[[418, 226], [451, 271]], [[649, 256], [685, 292]]]";0
2100;2;"[[[424, 280], [461, 314]], [[661, 307], [691, 339]]]";1
2120;2;"[[[457, 285], [487, 322]], [[686, 308], [723, 355]]]";1
2140;2;"[[[434, 260], [473, 296]], [[673, 288], [706, 326]]]";1
2160;2;"[[[408, 241], [442, 274]], [[647, 268], [680, 300]]]";1
2180;2;"[[[358, 143], [399, 177]], [[604, 172], [645, 208]]]";1
2200;2;"[[[413, 111], [453, 143]], [[663, 138], [697, 178]]]";1
2220;2;"[[[390, 139], [428, 177]], [[640, 167], [684, 205]]]";1
2240;2;"[[[291, 168], [328, 208]], [[562, 199], [596, 239]]]";1
2260;2;"[[[391, 156], [426, 194]], [[650, 190], [690, 234]]]";1
2280;2;"[[[358, 106], [401, 147]], [[637, 130], [674, 173]]]";1
2300;2;"[[[359, 142], [397, 180]], [[644, 169], [677, 213]]]";1
2320;2;"[[[420, 124], [460, 167]], [[707, 163], [744, 207]]]";1
2340;2;"[[[378, 61], [417, 106]], [[678, 94], [719, 142]]]";1
2360;2;"[[[294, 199], [327, 241]], [[606, 224], [648, 275]]]";1
2380;2;"[[[331, 217], [369, 257]], [[644, 247], [680, 290]]]";1
2400;1;"[[[639, 180], [679, 222]]]";1
2420;1;"[[[550, 169], [591, 216]]]";1
2440;2;"[[[320, 168], [364, 212]], [[669, 196], [712, 246]]]";1
2460;2;"[[[258, 79], [313, 128]], [[631, 116], [680, 165]]]";1
2480;1;"[[[561, 105], [610, 158]]]";1
2500;1;"[[[543, 182], [592, 239]]]";1
2520;1;"[[[581, 145], [635, 202]]]";1
2540;1;"[[[430, 138], [498, 200]]]";1
2560;1;"[[[444, 132], [510, 198]]]";1
2580;1;"[[[414, 64], [482, 131]]]";1
2600;1;"[[[371, 72], [428, 138]]]";1
2620;1;"[[[412, 61], [474, 133]]]";1
2640;1;"[[[392, 44], [456, 116]]]";1
2660;1;"[[[227, 9], [310, 99]]]";1
2680;0;"[]";1
2700;0;"[]";1
2720;0;"[]";1
2740;0;"[]";1
2760;0;"[]";1
2780;0;"[]";1
2800;0;"[]";1
2820;0;"[]";1
2840;0;"[]";1
2860;0;"[]";1
2880;0;"[]";1
2900;0;"[]";1
2920;0;"[]";1
2940;0;"[]";1
2960;2;"[[[234, 224], [278, 265]], [[491, 255], [519, 290]]]";0
2980;2;"[[[540, 211], [570, 239]], [[762, 233], [791, 263]]]";0
3000;2;"[[[522, 291], [549, 324]], [[742, 313], [778, 347]]]";0
3020;2;"[[[508, 263], [534, 295]], [[732, 292], [762, 326]]]";0
3040;2;"[[[485, 240], [517, 271]], [[710, 261], [742, 293]]]";0
3060;2;"[[[513, 223], [542, 260]], [[740, 248], [767, 280]]]";0
3080;2;"[[[493, 213], [523, 251]], [[717, 238], [751, 273]]]";0
3100;2;"[[[507, 226], [536, 262]], [[734, 252], [763, 286]]]";0
3120;2;"[[[538, 232], [568, 260]], [[762, 249], [792, 280]]]";0
3140;2;"[[[512, 192], [548, 226]], [[737, 211], [769, 245]]]";0
3160;2;"[[[493, 155], [533, 193]], [[728, 180], [762, 212]]]";0
3180;2;"[[[505, 221], [537, 261]], [[735, 250], [765, 286]]]";0
3200;2;"[[[469, 230], [505, 266]], [[698, 259], [731, 294]]]";0
3220;2;"[[[459, 242], [496, 271]], [[687, 268], [718, 304]]]";0
3240;2;"[[[496, 231], [526, 270]], [[725, 258], [758, 294]]]";0
3260;2;"[[[486, 221], [524, 258]], [[712, 247], [748, 282]]]";0
3280;2;"[[[514, 199], [555, 234]], [[748, 225], [778, 257]]]";0
3300;2;"[[[495, 185], [535, 222]], [[723, 211], [755, 247]]]";0
3320;2;"[[[420, 205], [464, 242]], [[656, 237], [689, 272]]]";0
3340;2;"[[[467, 227], [501, 264]], [[696, 259], [727, 300]]]";0
3360;2;"[[[461, 198], [498, 240]], [[687, 227], [728, 268]]]";0
3380;2;"[[[427, 189], [465, 227]], [[660, 222], [694, 253]]]";0
3400;2;"[[[423, 193], [462, 229]], [[651, 221], [690, 258]]]";0
3420;2;"[[[418, 205], [449, 238]], [[647, 234], [680, 271]]]";0
3440;2;"[[[388, 210], [422, 249]], [[624, 242], [655, 277]]]";0
3460;2;"[[[421, 225], [453, 258]], [[651, 254], [680, 290]]]";0
3480;2;"[[[464, 228], [496, 260]], [[693, 261], [718, 294]]]";1
3500;2;"[[[449, 209], [483, 234]], [[676, 231], [710, 268]]]";1
3520;2;"[[[452, 218], [484, 250]], [[687, 251], [714, 282]]]";1
3540;2;"[[[484, 140], [516, 177]], [[717, 177], [750, 214]]]";1
3560;2;"[[[412, 189], [448, 223]], [[656, 214], [688, 247]]]";1
3580;2;"[[[474, 209], [506, 245]], [[716, 238], [748, 273]]]";1
3600;2;"[[[400, 266], [431, 300]], [[650, 291], [681, 327]]]";1
3620;2;"[[[384, 259], [425, 299]], [[644, 285], [683, 322]]]";1
3640;2;"[[[520, 216], [560, 256]], [[776, 235], [817, 272]]]";1
3660;2;"[[[364, 271], [400, 306]], [[638, 297], [675, 338]]]";1
3680;2;"[[[338, 175], [379, 211]], [[628, 214], [664, 252]]]";1
3700;2;"[[[410, 165], [450, 205]], [[697, 201], [731, 246]]]";1
3720;2;"[[[386, 217], [431, 255]], [[682, 239], [724, 285]]]";1
3740;2;"[[[278, 182], [322, 226]], [[594, 224], [635, 266]]]";1
3760;2;"[[[314, 180], [365, 225]], [[636, 211], [683, 253]]]";1
3780;2;"[[[291, 195], [337, 241]], [[620, 234], [670, 275]]]";1
3800;2;"[[[302, 155], [354, 208]], [[653, 195], [696, 242]]]";1
3820;2;"[[[380, 114], [430, 158]], [[726, 132], [772, 180]]]";1
3840;2;"[[[211, 129], [257, 171]], [[590, 165], [636, 210]]]";1
3860;2;"[[[255, 68], [301, 116]], [[640, 100], [688, 146]]]";1
3880;2;"[[[246, 123], [294, 180]], [[640, 150], [696, 214]]]";1
3900;1;"[[[547, 278], [602, 327]]]";1
3920;1;"[[[485, 110], [545, 165]]]";1
3940;1;"[[[533, 147], [594, 212]]]";1
3960;1;"[[[469, 160], [539, 227]]]";1
3980;1;"[[[390, 23], [460, 95]]]";1
4000;1;"[[[446, 106], [513, 176]]]";1
4020;1;"[[[366, 7], [448, 89]]]";1
4040;0;"[]";1
4060;0;"[]";1
4080;0;"[]";1
4100;0;"[]";1
4120;0;"[]";1
4140;0;"[]";1
4160;0;"[]";1
4180;0;"[]";1
4200;0;"[]";1
4220;0;"[]";1
4240;0;"[]";1
4260;0;"[]";1
4280;0;"[]";1
4300;2;"[[[270, 272], [300, 308]], [[472, 291], [506, 331]]]";0
4320;2;"[[[519, 303], [546, 334]], [[704, 320], [736, 352]]]";0
4340;2;"[[[501, 279], [542, 315]], [[695, 297], [726, 336]]]";0
4360;2;"[[[436, 266], [468, 303]], [[630, 290], [658, 323]]]";0
4380;2;"[[[456, 271], [488, 303]], [[646, 291], [677, 327]]]";0
4400;2;"[[[505, 312], [533, 350]], [[692, 329], [723, 362]]]";0
4420;2;"[[[390, 276], [430, 317]], [[589, 294], [622, 332]]]";0
4440;2;"[[[337, 288], [379, 332]], [[542, 317], [578, 351]]]";0
4460;2;"[[[347, 319], [381, 356]], [[546, 340], [580, 379]]]";0
4480;2;"[[[329, 252], [371, 295]], [[530, 281], [565, 322]]]";0
4500;2;"[[[332, 276], [366, 321]], [[535, 307], [569, 347]]]";0
4520;2;"[[[340, 258], [381, 299]], [[540, 286], [578, 322]]]";0
4540;2;"[[[383, 272], [419, 309]], [[575, 297], [611, 335]]]";0
4560;2;"[[[363, 301], [392, 335]], [[559, 329], [585, 365]]]";0
4580;2;"[[[328, 265], [362, 302]], [[525, 286], [553, 331]]]";0
4600;2;"[[[343, 244], [380, 280]], [[544, 274], [575, 309]]]";0
4620;2;"[[[318, 218], [360, 259]], [[521, 245], [555, 286]]]";0
4640;2;"[[[302, 232], [337, 268]], [[509, 265], [542, 305]]]";0
4660;2;"[[[354, 223], [384, 265]], [[551, 258], [585, 299]]]";0
4680;2;"[[[351, 238], [386, 279]], [[547, 262], [582, 302]]]";0
4700;2;"[[[368, 249], [401, 291]], [[564, 278], [599, 313]]]";0
4720;2;"[[[360, 272], [398, 316]], [[562, 304], [591, 341]]]";0
4740;2;"[[[436, 262], [469, 302]], [[631, 287], [658, 324]]]";0
4760;2;"[[[424, 267], [460, 303]], [[617, 285], [658, 322]]]";0
4780;2;"[[[319, 207], [349, 245]], [[518, 236], [548, 272]]]";0
4800;2;"[[[257, 230], [293, 267]], [[465, 257], [498, 296]]]";0
4820;2;"[[[256, 195], [291, 231]], [[462, 224], [494, 263]]]";0
4840;2;"[[[302, 198], [337, 241]], [[505, 228], [537, 268]]]";0
4860;2;"[[[328, 199], [359, 241]], [[531, 225], [562, 262]]]";0
4880;2;"[[[290, 193], [329, 232]], [[493, 223], [529, 263]]]";0
4900;2;"[[[233, 193], [272, 240]], [[445, 229], [480, 267]]]";0
4920;2;"[[[256, 231], [299, 274]], [[462, 257], [500, 301]]]";0
4940;2;"[[[406, 185], [442, 228]], [[605, 210], [642, 251]]]";0
4960;2;"[[[356, 122], [392, 167]], [[558, 160], [589, 198]]]";0
4980;2;"[[[181, 148], [223, 190]], [[406, 179], [436, 219]]]";0
5000;2;"[[[229, 134], [267, 177]], [[443, 164], [482, 206]]]";0
5020;2;"[[[210, 142], [248, 183]], [[424, 162], [460, 213]]]";0
5040;2;"[[[298, 175], [339, 219]], [[501, 206], [536, 250]]]";0
5060;2;"[[[219, 200], [260, 242]], [[429, 224], [469, 266]]]";0
5080;2;"[[[175, 228], [214, 262]], [[391, 238], [425, 284]]]";0
5100;2;"[[[226, 221], [264, 262]], [[442, 245], [473, 281]]]";0
5120;2;"[[[254, 218], [299, 257]], [[463, 237], [500, 269]]]";0
5140;2;"[[[226, 203], [267, 238]], [[439, 216], [477, 256]]]";0
5160;2;"[[[211, 195], [245, 236]], [[423, 218], [455, 255]]]";0
5180;2;"[[[162, 199], [205, 238]], [[383, 221], [420, 264]]]";0
5200;2;"[[[150, 245], [191, 283]], [[374, 262], [407, 294]]]";0
5220;2;"[[[216, 237], [251, 276]], [[427, 255], [464, 293]]]";0
5240;2;"[[[331, 237], [370, 276]], [[532, 257], [563, 296]]]";0
5260;2;"[[[299, 253], [333, 289]], [[500, 278], [530, 315]]]";0
5280;2;"[[[315, 327], [349, 363]], [[516, 346], [556, 374]]]";0
5300;2;"[[[342, 270], [379, 311]], [[545, 290], [584, 330]]]";0
5320;2;"[[[360, 275], [400, 313]], [[564, 292], [599, 326]]]";1
5340;2;"[[[334, 218], [373, 258]], [[532, 239], [574, 270]]]";1
5360;2;"[[[279, 189], [316, 222]], [[491, 206], [524, 241]]]";1
5380;2;"[[[354, 210], [391, 243]], [[557, 226], [590, 260]]]";1
5400;2;"[[[401, 173], [433, 210]], [[598, 197], [636, 237]]]";1
5420;2;"[[[300, 196], [343, 230]], [[516, 215], [548, 249]]]";1
5440;2;"[[[343, 112], [387, 152]], [[558, 138], [599, 177]]]";1
5460;2;"[[[314, 249], [350, 283]], [[530, 269], [563, 309]]]";1
5480;2;"[[[168, 192], [213, 238]], [[410, 227], [446, 268]]]";1
5500;2;"[[[244, 196], [284, 237]], [[473, 227], [522, 265]]]";1
5520;2;"[[[265, 245], [302, 280]], [[504, 262], [542, 305]]]";1
5540;2;"[[[188, 236], [227, 279]], [[440, 271], [479, 309]]]";1
5560;2;"[[[208, 293], [247, 325]], [[454, 319], [494, 358]]]";1
5580;2;"[[[190, 239], [240, 282]], [[458, 266], [504, 309]]]";1
5600;2;"[[[145, 230], [184, 274]], [[418, 254], [466, 298]]]";1
5620;2;"[[[150, 207], [199, 251]], [[428, 229], [482, 276]]]";1
5640;2;"[[[186, 205], [234, 245]], [[474, 228], [519, 274]]]";1
5660;2;"[[[111, 221], [161, 259]], [[412, 239], [467, 291]]]";1
5680;2;"[[[22, 125], [73, 171]], [[349, 159], [402, 209]]]";1
5700;1;"[[[364, 148], [419, 197]]]";1
5720;1;"[[[268, 259], [324, 306]]]";1
5740;1;"[[[246, 143], [305, 200]]]";1
5760;1;"[[[259, 150], [322, 213]]]";1
5780;1;"[[[150, 175], [232, 254]]]";1
5800;1;"[[[41, 125], [115, 197]]]";1
5820;0;"[]";1
5840;0;"[]";1
5860;0;"[]";1
